계산일자,통화코드,시장평균환율
2020-10-19,EUR,1341.1
2020-10-19,JPY,1088.15
2020-10-19,USD,1145.6
2020-10-20,CNY,170.67
2020-10-20,EUR,1338.12
2020-10-20,JPY,1083.5
2020-10-20,USD,1142.2
2020-10-21,CNY,170.71
2020-10-21,EUR,1341.89
2020-10-21,JPY,1079.96
2020-10-21,USD,1139.7
2020-10-22,CNY,170.54
2020-10-22,EUR,1342.65
2020-10-22,JPY,1076.22
2020-10-22,USD,1133.7
2020-10-23,CNY,170.49
2020-10-23,EUR,1343.8
2020-10-23,JPY,1083.71
2020-10-23,USD,1134.1
2020-10-26,CNY,170
2020-10-26,EUR,1338.87
2020-10-26,JPY,1083.19
2020-10-26,USD,1134.6
2020-10-27,CNY,169.18
2020-10-27,EUR,1336.73
2020-10-27,JPY,1077.03
2020-10-27,USD,1129.1
2020-10-28,CNY,168.44
2020-10-28,EUR,1333.58
2020-10-28,JPY,1076.88
2020-10-28,USD,1127.6
2020-10-29,CNY,168.16
2020-10-29,EUR,1329.91
2020-10-29,JPY,1081.52
2020-10-29,USD,1129.3
2020-10-30,CNY,168.75
2020-10-30,EUR,1332.32
2020-10-30,JPY,1085.96
2020-10-30,USD,1133.4
2020-11-02,CNY,168.85
2020-11-02,EUR,1320.06
2020-11-02,JPY,1082.34
2020-11-02,USD,1130.4
2020-11-03,CNY,169.58
2020-11-03,EUR,1321.28
2020-11-03,JPY,1084.21
2020-11-03,USD,1134.7
2020-11-04,CNY,169.64
2020-11-04,EUR,1321.47
2020-11-04,JPY,1083.2
2020-11-04,USD,1134.6
2020-11-05,CNY,169.38
2020-11-05,EUR,1327.03
2020-11-05,JPY,1084.58
2020-11-05,USD,1136.5
2020-11-06,CNY,170.31
2020-11-06,EUR,1326.81
2020-11-06,JPY,1084.25
2020-11-06,USD,1130.9
2020-11-09,CNY,169.95
2020-11-09,EUR,1328.88
2020-11-09,JPY,1085.85
2020-11-09,USD,1124.4
2020-11-10,CNY,169.78
2020-11-10,EUR,1327.3
2020-11-10,JPY,1080.02
2020-11-10,USD,1115.6
2020-11-11,CNY,168.91
2020-11-11,EUR,1320.04
2020-11-11,JPY,1062.93
2020-11-11,USD,1115.9
2020-11-12,CNY,168.78
2020-11-12,EUR,1315.76
2020-11-12,JPY,1058.24
2020-11-12,USD,1112.4
2020-11-13,CNY,168.29
2020-11-13,EUR,1311.07
2020-11-13,JPY,1057.26
2020-11-13,USD,1113.2
2020-11-16,CNY,168.47
2020-11-16,EUR,1316.56
2020-11-16,JPY,1062.68
2020-11-16,USD,1115.1
2020-11-17,CNY,168.32
2020-11-17,EUR,1312.53
2020-11-17,JPY,1059.18
2020-11-17,USD,1108
2020-11-18,CNY,168.62
2020-11-18,EUR,1312.87
2020-11-18,JPY,1059.33
2020-11-18,USD,1106.8
2020-11-19,CNY,168.88
2020-11-19,EUR,1312.11
2020-11-19,JPY,1062.53
2020-11-19,USD,1105.9
2020-11-20,CNY,169.4
2020-11-20,EUR,1317.15
2020-11-20,JPY,1070.98
2020-11-20,USD,1112.2
2020-11-23,CNY,169.57
2020-11-23,EUR,1323.5
2020-11-23,JPY,1073.23
2020-11-23,USD,1114.2
2020-11-24,CNY,169.85
2020-11-24,EUR,1321.38
2020-11-24,JPY,1072.53
2020-11-24,USD,1112.6
2020-11-25,CNY,169
2020-11-25,EUR,1316.55
